motivo,frecuencia,acuerdos,tasa_acuerdo,porcentaje
falta_liquidez,293,128,0.43686006825938567,24.477861319966582
pago_ya_realizado,289,29,0.10034602076124567,24.143692564745194
disputa_saldo_o_cobro,280,32,0.11428571428571428,23.391812865497073
consulta_o_tramite,192,66,0.34375,16.040100250626566
desconexion_o_rebote,137,67,0.48905109489051096,11.445279866332497
desempleo,108,31,0.28703703703703703,9.022556390977442
priorizacion_otros_gastos,54,24,0.4444444444444444,4.511278195488721
emergencia_familiar,35,20,0.5714285714285714,2.923976608187134
salud,28,13,0.4642857142857143,2.3391812865497075
calamidad_familiar,1,1,1.0,0.0835421888053467
health,1,1,1.0,0.0835421888053467
